submission_date,state,tot_cases,tot_death
2022/01/01,FL,4267726,62862
2022/01/01,NC,1718239,19590
2022/01/01,MT,197724,2906
2022/01/01,CA,5477529,75847
2022/01/01,VT,61294,455
2022/01/01,LA,828695,14986
2022/01/01,RI,239249,3090
2022/01/01,NM,350043,5855
2022/01/01,NH,198667,1961
2022/01/01,ME,146736,1531
2022/01/01,WV,328162,5336
2022/01/01,IA,582348,7858
2022/01/01,OH,2016095,29447
2022/01/01,MN,1022212,10656
2022/01/01,NE,342939,3341
2022/01/01,AL,910180,16642
2022/01/01,CO,929275,10271
2022/01/01,MD,737199,11758
2022/01/01,UT,636992,3787
2022/01/01,SD,179204,2486
2022/01/01,IL,2181009,31017
2022/01/01,NJ,1596644,29053
2022/01/01,MA,1140614,20273
2022/01/01,IN,1246854,19037
2022/01/01,KS,519544,7001
2022/01/01,DE,183880,2286
2022/01/01,VA,1133238,15601
2022/01/01,TN,1438249,20881
2022/01/01,NV,501181,8420
2022/01/01,HI,112283,1083
2022/01/01,PA,2059613,36714
2022/01/01,ID,319382,4162
2022/01/01,KY,873160,12255
2022/01/01,AR,570641,9180
2022/01/01,ND,174626,2012
2022/01/01,MO,1006913,16074
2022/01/01,GA,1839879,31443
2022/01/01,WI,1120669,11173
2022/01/01,SC,986983,14643
2022/01/01,CT,510188,9160
2022/01/01,MS,543737,10450
2022/01/01,WY,115638,1526
2022/01/01,OK,708938,11555
2021/12/31,CA,5477529,75847
2021/12/31,SC,975842,14638
2021/12/31,RI,236571,3083
2021/12/31,OK,708938,11555
2021/12/31,NY,1924606,23611
2021/12/31,KY,868731,12255
2021/12/31,IL,2181009,31017
2021/12/31,MA,1140614,20273
2021/12/31,WV,328162,5336
2021/12/31,MI,1710271,29019
2021/12/31,NV,501181,8420
2021/12/31,VT,60788,453
2021/12/31,AZ,1381488,24229
2021/12/31,MS,543737,10450
2021/12/31,WY,115638,1526
2021/12/31,TX,4576799,74491
2021/12/31,UT,636992,3787
2021/12/31,WA,849075,9853
2021/12/31,MT,197724,2906
2021/12/31,MO,1006913,16074
2021/12/31,CO,929275,10271
2021/12/31,HI,109576,1079
2021/12/31,TN,1426823,20880
2021/12/31,DE,180366,2286
2021/12/31,VA,1133238,15601
2021/12/31,KS,519544,7001
2021/12/31,SD,179204,2486
2021/12/31,IN,1246854,19037
2021/12/31,WI,1120669,11173
2021/12/31,NC,1698569,19576
2021/12/31,GA,1839879,31443
2021/12/31,NH,198667,1961
2021/12/31,OH,2016095,29447
2021/12/31,AR,566486,9148
2021/12/31,NE,342939,3341
2021/12/31,OR,421263,5655
2021/12/31,AL,905188,16638
2021/12/31,FL,4222044,62827
2021/12/31,NJ,1564253,29037
2021/12/31,MN,1022212,10656
2021/12/31,IA,582348,7858
2021/12/31,ME,146736,1531
2021/12/31,AK,151583,947
2021/12/31,LA,828695,14986
